task,agent,model,mode,completion_pct,runtime
Solar,Raw Codex,gpt-5.6-sol,ultra,53,00:32:33
Solar,Raw Codex,gpt-5.6-sol,xhigh,47,00:16:58
Solar,Bello,gpt-5.6-sol,ultra,71,10:43:00
Solar,Bello,gpt-5.6-sol,xhigh,67,04:26:04
Samtools,Raw Codex,gpt-5.6-sol,ultra,52,00:36:17
Samtools,Raw Codex,gpt-5.6-sol,xhigh,38,00:28:48
Samtools,Bello,gpt-5.6-sol,ultra,71,19:25:22
Samtools,Bello,gpt-5.6-sol,xhigh,44,09:57:52
Rumdl,Raw Codex,gpt-5.6-sol,ultra,56,01:40:05
Rumdl,Raw Codex,gpt-5.6-sol,xhigh,48,00:31:57
Rumdl,Bello,gpt-5.6-sol,ultra,80,19:20:30
